ID,Longitude,Latitude
SRR1173821,-0.2663,38.5355
SRR9302961,100.15,25.9
SRR8075953,-85.19634,32.933463
SRR7369920,120.26,33.11
SRR8075965,-85.087393,32.664624
SRR4198666,-0.6499,39.14
SRR8894380,102.895,24.541
SRR8075990,-85.19634,32.933463
SRR8075941,-85.062168,31.66294000000001
SRR7369916,120.26,33.11
DRR125123,135.9957,35.2193
SRR7369919,120.26,33.11
SRR9302962,100.16,25.94
SRR6423811,103.86,1.29
SRR7369917,120.26,33.11
SRR4198832,-0.6499,39.14
SRR9302959,102.88,24.48
SRR9302960,102.89,24.57
DRR125121,135.9957,35.2193
SRR9302958,100.78,27.71
SRR8075960,-85.087393,32.664624
SRR7369918,120.26,33.11
DRR125122,135.9957,35.2193
